Title,description,Link,Score,Story_author,Painting_author,Author,Day,Genre,Image_Source,isDone,tags
연애혁명,"평범하면서 금사빠인 고등학생 순정남 공주영은 
까칠하고 차가운 여학생 왕자림을 보고 사랑에 빠져버린다.
너무 다른 둘, 괜찮을까?",https://comic.naver.com/webtoon/list?titleId=570503,9.86,232,232,,목,학원로맨스,https://image-comic.pstatic.net/webtoon/570503/thumbnail/thumbnail_IMAG21_85e39ba0-3fc6-4ddb-9e78-5e8879b7d3d9.jpg,FALSE,#드라마 #다정남 #혐관로맨스 #하이틴 #학원로맨스
소녀의 세계,"완벽해 보이지만 사실 외로웠던 백조들과 맘씨 착한 오리가 만나
여러 갈등을 함께 겪으며 진짜 친구가 되어가는 소녀들의 찐 우정물",https://comic.naver.com/webtoon/list?titleId=654774,9.93,모랑지,모랑지,,월,학원로맨스,https://image-comic.pstatic.net/webtoon/654774/thumbnail/thumbnail_IMAG21_4048794550434817075.jpg,FALSE,#드라마 #학원로맨스 #하이틴 #직진남 #삼각관계 #까칠남 #감성드라마
연놈,"중2 여름, 가지 말라는 말도 좋아했다는 말도 하지 못한 채 보낸 그녀가 3년 만에 나타났다.
지나버린 시간과 마주한 소년 그리고 소녀의 이야기",https://comic.naver.com/webtoon/list?titleId=667573,9.82,상하,상하,,수,학원로맨스,https://image-comic.pstatic.net/webtoon/667573/thumbnail/thumbnail_IMAG21_095997c8-effc-4722-8157-baeaaa439930.jpg,FALSE,#드라마 #학원로맨스
자매전쟁,"단 하나로 인정받고 싶었던 두 소녀, 예술고등학교 1등과 2등을 앞다투는 '원리온'과 '추해라'.
'진짜'가 되기 위한 천재 소녀들의 치명적인 전쟁이 시작된다.",https://comic.naver.com/webtoon/list?titleId=798664,9.95,기맹기,기맹기,,일,학원로맨스,https://image-comic.pstatic.net/webtoon/798664/thumbnail/thumbnail_IMAG21_c7250508-9855-409e-a8f6-0adf1d76a1f8.jpg,FALSE,#드라마 #계략여주 #학원로맨스 #복수극
가짜 동맹,"소꿉친구와 하루아침에 커플이 되었다?!
통제가 강한 부모님들을 안심 시키고 자유롭게 생활하기 위해 동맹을 맺은 두 모범생 ‘윤세이’와 ‘김재하’.
동맹을 들킬 위기를 모면하기 위한 두 사람의 가짜 커플 행세가 시작된다!",https://comic.naver.com/webtoon/list?titleId=788167,9.98,케냠,케냠,,수,학원로맨스,https://image-comic.pstatic.net/webtoon/788167/thumbnail/thumbnail_IMAG21_9d85dac5-3e9d-4734-9184-95d5c5c8fa5e.jpg,FALSE,#로맨스 #소꿉친구 #2021 지상최대공모전 #계약연애 #학원로맨스 #친구>연인
청춘 블라썸,"“푸르지 않아도 괜찮아!”
이제 막 청춘을 시작하고 있는 아이들.
그리고 마냥 아름답지만은 않은 그 시절의 기억들.
봄으로 가기 위한 그들의 성장통.
봄, 여름, 가을, 겨울... 사계절의 빛깔로 담아낸
풋풋하고 알싸한 아이들의 청춘 스토리.",https://comic.naver.com/webtoon/list?titleId=746834,9.97,홍덕,NEMONE,,토,학원로맨스,https://image-comic.pstatic.net/webtoon/746834/thumbnail/thumbnail_IMAG21_6412ed6b-2288-41df-8715-648a3da9154e.jpg,FALSE,#로맨스 #드라마&영화 원작웹툰 #하이틴 #학원로맨스 #캠퍼스로맨스 #성장드라마 #삼각관계 #까칠남
여우놀이,"평범하게만 살아온 박온유의 일상에 어느 날 찾아와 둘도 없는 베프가 된 ‘예쁜 애’ 신채리.
두 사람은 서울 최상위 학군의 명문 고등학교 상목고에 진학하게 된 후, 모든 10대들의 워너비 ‘상목고의 여우들’을 만나 아슬아슬한 여우놀이에 휘말리게 되는데….
욕망을 품은 10대 소녀들의 사랑과 우정에 관한 이야기!",https://comic.naver.com/webtoon/list?titleId=768469,9.97,황혜진,황혜진,,금,학원로맨스,https://image-comic.pstatic.net/webtoon/768469/thumbnail/thumbnail_IMAG21_bff0c189-27cb-4859-8866-5f548210a578.jpg,FALSE,#드라마 #폭스남 #2020 지상최대공모전 #하이틴 #학원로맨스
살아남은 로맨스,"로맨스 소설에 빙의해 행복한 삶을 살던 채린.
그녀의 눈에 남자주인공인 '제하' 외에는 모두 검은색 그림자로밖에 보이지 않는다.
그리고 갑자기 바뀐 소설의 장르. 
살아남으려면 엑스트라들과 손을 잡아야 한다!!
<화장 지워주는 남자> 이연 작가의 차기작, 세상에 이런 장르는 없었다!",https://comic.naver.com/webtoon/list?titleId=764129,9.98,이연,이연,,일,학원로맨스,https://image-comic.pstatic.net/webtoon/764129/thumbnail/thumbnail_IMAG21_082cf9cf-165b-41f3-acae-0d5af28c3864.,FALSE,#판타지 #서바이벌 #아포칼립스 #학원로맨스 #빙의 #구원서사
선을 넘은 연애,"누나와 동생 같은 동갑내기 소꿉친구 '아라'와 '가람'.  
고등학교 2학년이 된 두 사람은 8살 이후 처음으로 같은 반이 되면서 예상치 못한 방향으로 관계가 변하기 시작한다. 
가람이가 그저 귀여운 아라와 그게 못마땅한 가람. 
과연 두 사람은 연애라는 선을 넘을 수 있을까?",https://comic.naver.com/webtoon/list?titleId=796980,9.97,서녜,서녜,,금,학원로맨스,https://image-comic.pstatic.net/webtoon/796980/thumbnail/thumbnail_IMAG21_3545002734307981623.jpg,FALSE,#로맨스 #다정남 #소꿉친구 #2021 최강자전 #학원로맨스 #하이틴 #성장드라마
연기는 처음인데요?!,"어느 날 시아는 잘못 찾아간 연기 학원에서, 
연기에 재능이 있다는 칭찬을 듣고는 덜컥 학원에 등록해버리고 만다. 
그리고 그곳에서 같은 반 친구인 유하늘과 만나게 된다. 
시아는 매일 마주치는 하늘에게 자꾸 관심이 가지만, 
하늘의 철벽 선 긋기는 끝나지 않는다. 
오디션을 거치며 점점 연기에 진심이 되어가는 시아, 
연기 초보 시아는 과연 배우로 잘 성장할 수 있을까?",https://comic.naver.com/webtoon/list?titleId=805893,9.91,홍로베,앨렴,,금,학원로맨스,https://image-comic.pstatic.net/webtoon/805893/thumbnail/thumbnail_IMAG21_bfdc4017-7983-4474-90bc-854779bdbdbf.jpg,FALSE,#로맨스 #학원로맨스 #하이틴 #청춘로맨스 #연예계 #성장드라마
