title,origin
맨손으로 우주개척!,아버지
헤키요 고교 학생회 묵시록 ,성불예정
넥스트 헤이븐,키시 하이야
고검독보,씩스
아카데미야 (Academia) : 자녀 입시 비리 카르텔 대학,문라희
들이닥친 강아지 귀 노예가 니트 대영웅의 시중을 드나 봅니다. ,피요데라 무차
천재 보컬의 스포트라이트 ,춤출래
이세계에 전생했더니 미소녀 성주였다.,미즈키 미나모
"그날, 신에게 바랐던 것은 ",하즈키 아야
통과의례,은나목
미친 반신 귀환하다,주니몬
스케빈저,제니크
천마님 안마하신다,레빗토끼
불륜 게임,고머
다시 그대가,고여운
후회의 끝자락에 존재하는 것 ,백서하
독심술로 승진합니다,벼랑끝
맹수는 달콤한 케이크를 원해,초록콩
경찰이 너무 강함,이미기무루
청춘 돼지 시리즈,카모시다 하지메
여배우가 사랑하는 천재작가,다물랑
"보스 몹답게 행동하세요, 스왈로우씨!",렐트리
연극성 회귀 생활 ,취미글주의
외과의로 시작하는 헌터생활 ,랑현설
몬스☆패닉 NG  ,NEOTYPE
CtG ,시월의오팔
격검제,라바
적가천금,천산다객
악당의 죽은 자식 ,탄E
공작가 서자는 9서클 소드마스터,시가렛
내 조선에 세종은 없다,핏콩
성검무협 ,크레도
아포칼립스의 독서가,재승
파혼에 성공한들 ,디버스 대도서관
광마는 남궁세가 소가주 ,윤하준
반야신공 ,바라밀
사막의 죄,두영頭瑩
역대급 먼치킨 마법사의 회귀,다미레
은퇴 히어로는 게임만 하고 싶다,초록죠아
폭군님은 착하게 살고 싶어 ,람글
"천재 타자, 재벌과 결혼합니다",와우리을리
천재의 신들린 게임방송 ,믿고보는
"날 주워주세요, 마법사님 ",놀토랑
얼굴천재 아이돌로 2회차 인생 ,이구
나 혼자 차원 지식 독점 ,에드몽
해선 안 될 짓 ,코스모로지
태자비 ,다금정
초월자들의 차원마켓,우림
7황자는 애매해서 탈출합니다 ,선지
언로맨틱 스피딩  ,해양생물
라이덴가의 사람들 ,김덕호
다시 만난 우리의 세계,글로자
숨만 쉬어도 무공이 생겨,정주(丁柱)
던전에서 만남을 추구하면 안 되는 걸까  ,오모리 후지노
그들의 연애는 특별하지 않다,HYEONA
"사랑한다, 죽어도 ",해아한
정의란 없다,천년
위대한 폭군 ,권러프
청춘 돼지 시리즈,모리미
나는 모르는 아카데미,ysj9330
사랑을 정비할 시간,신이봄
모두에게 친절한 너는 왜  ,말린꽃
회귀당해 버렸다!?,최극
세상엔 씹어먹을 게 너무 많다 ,사다듬
패배 히로인이 너무 많아! ,스즈노스케
던전에서 식당합니다,글바다
당신의 후회는 사랑이 아니다 ,김희수
룰러바이(lullaby)  ,키에
수궁(水宮) 물 속에 있는 상상의 궁전,강승환
노예상인밖에 선택지가 없거든요?,neropaso
절대 실패하지 않는 아이돌의 기술,동울
삼국지 조진전,Aldor
그 마물에 대한 논문  ,낫이콜
폐왕성 ,소년행
달콤한 유혹.,GIFT SHOP
짜장 한 그릇에 제갈세가 데릴사위,에르훗
뉴 월드,이래경
평범한 그 여자를 사랑해 ,민서
썬라이즈 ,이드루한
Q. 공략대로 했는데 안 되던데요?,디삼
회귀한 소꿉친구가 결혼을 요구한다 ,Bubllea
이계십자로,강한이
회귀 플레이어의 게임 독식기,아르케
여주인공의 오빠를 부탁해!  ,예그라미
노래 읽어주는 남자,soran
새벽 두 시가 되면 판교는 불이 꺼진다  ,기계식
후궁으로 살아남기,도원경
아싸인 내게 벌칙 게임으로 고백해 온 갸루가 아무리 봐도 나한테 반한 것 같다 ,유이시
전생 라이프,청사초롱
오매불망   ,선명
공녀는 총검을 든다 ,희나나
무사부 진천 ,제임스.K
곤륜파 막내 제자 ,콜라지갑
아포칼립스의 유일한 흑마법사가 되었다,BELF
제검제왕 ,레드달빛
옆집 천사님 때문에 어느샌가 인간적으로 타락한 사연 ,사에키상
슬레어즈 스타 ,최재형
여명의 눈동자,김성종
나 홀로 멸망한 도시의 헌터,곰조씨
달콤한 유혹,이상우
데빌스 웨이,피로곰세마리
비뢰도 ,검류혼
현대 연금술사,현윤
이면세계(裏面世界): 마지막 선물,리준
"밑바닥 아저씨 모험가. 길드에서 추방당하고 지금까지 한 노력이 보답받아, 갑자기 최강 스킬 《무조건 승리》를 얻다",도마도마
내공 쓰는 한의사,나롯
매화 품은 소드마스터 ,대장장인
아카데미 망나니로 복수하는 법 ,디파일러
재벌집 만렙 화훼사,길밖의새
아카데미의 짝퉁검성 ,룬하임
매관매직 스크램블 ,차민하
"파고들어, 쏙!",ANNNNNNA
채널-신들의 전쟁,마인드뱅크
장씨세가 호위무사 외전,조형근
천마의 슬기로운 무림생활 ,운론
영웅시대 ,애아빵
헌팅 마스터,약먹은인삼
산왕무적 ,설담
눈 떠보니 음악천재!,강난독
우주 게임 속 용병이 되었다,Havoc
전학 간 학교의 청순가련한 미소녀가 옛날에 남자라고 생각해서 같이 놀던 소꿉친구였던 일 ,키타야마 유리
역대급 재능으로 인생 flex,생계형작가
비탄의 아리아 ,이성과감성
리라이프 에이전트 ,강동호
그 사람이 너였어.,강형민
다시 시작,rina76
甲午(갑오),Vuelahasta
신들의 배달기사 ,바다낭자
인생 2회차는 만능 매니저로 ,청량이
악기빨로 음악천재 ,김이서하
고스트 프로토콜,현로
차원 관리자 : 초대받지 않은 자들,시우
사랑이다 연심이다를 단속하는 나에게 봄이 찾아왔기에 무질서 ,미야마 제로
로맨티코 ,서블리
반인반요 아란,최수현
ACE ,호리이
검신의 계승자 ,미유
삼국지 하얀 늑대,꽁
최약무패의 신장기룡 ,우서라
미궁 속 천재공학자,병장개미
전생 용사 성공담 ,무츠미 마사토
지구 멸망을 막을 사람이 나밖에 없다 ,황규영
별을 쫓는 소년들,노끼
물거품이 되어 버리기 전에 ,찬겨울
광룡이계전생 ,시준
디센트(Descent) ,잼베리
검은 영웅의 일격무쌍 ,와리나이 타리사
그 영애의 슬기로운 성녀생활 ,다은경
그래서 설록수는 베이커가에 산다(미스터리 노블 외전-홈즈 오마주편 03) ,sgk
"고수, 황태자의 전 약혼녀가 되었습니다 ",빛라라
천재로 돌아왔다,셀레포
백작가의 망나니가 되었다,글첨지
불멸의 파괴자 ,서준형
크리스마스 파티(미스터리 노블-크리스마스 시즌 04) ,정명섭
복수하는 회귀 사서 ,백일하
HIDE & SEEK  ,이엪
악역 영애는 서민과 결혼하고 싶어!! ,글밥
"고구려, 삼국지를 먹다 ",풍아저씨
메리 케임브리지 크리스마스(미스터리 노블-크리스마스 시즌 02) ,윤해환
정령환상기,네코나베 아오
우선 남동생부터 숨기자 외전 ,채지후
그 아이들의 이야기,양소유
그 계약결혼은 분명 공평했다 ,달로가자
"마음은 늘, 봄이다 ",임영기
불사(不死),이원호
용사의 옆집에 산다는 것,소형
다시 피어난 사랑,Kasumi Nagi
이세계 미궁의 최심부로 향하자,후미
충무공 손자는 반역을 한다,daybreak95
날로 먹는 인생문 ,쾌벌
짐승조선,글라딘
짓밟고 부서지더라도 ,은솔림
피가 거꾸로 솟구친다 ( 피 꺼 솟 ),zaksalking
부유학원의 앨리스 & 셜리 ,VF
비뢰도,검류혼
괴물장군 ,흑범
호국룡 사용 설명서 ,이순정
누나는 너무 예뻐,챠리
던전에서 만남을 추구하면 안 되는 걸까,오모리 후지노
좀비 잡고 손은 씻냐? ,P칸츄
"악녀인데요, 왜 집착하시죠? ",카루목
잠자는 집착 남주를 깨우고 말았다 ,유시카
태양을 사랑할 수 없다면 ,manic
아삐의 매직스케치북 2,유리Yueli
내 편 해줘  ,달밤달곰
사령관의 하룻밤을 가졌을 뿐인데 ,김순무
악마의 귀환,김무열
초공간조작 VVIP 짐꾼,곰대리
닥치고 내게로 와!,silver구슬
제9행성,다니엘 리
차라리 개를 키우지,류진호
알고리즘 보는 천재 매니저,더브러
무림공적으로 살아남기 ,기신
괴물이 되어라 ,희랑화랑
중고로 연기하는 연기천재 ,글소
후궁의 까마귀 ,Ayuko
새비지팽 레이디 ,카미츠키 레이니
다크판타지의 엑스트라 ,동네지기
열정을 숨기고 ,샬로트 램
그대 안에 ,남철우
라이벌 길들이기 ,엄숙영
버림받은 천재의 환생 ,애아빵
스팀펑크의 마법사,데코몽쉘
언더 더 로즈,5月돼지
자퇴할 시간 ,요안나
소림곤왕 ,한성수
그래도 결혼 ,민은아
유령들 재능 받고 톱 스타,커피흡입기
바로크,리큐르
클라우드 나인 (Cloud Nine) - 노블오즈 Novel OZ ,박미정
모산파,매검향
다정한 연하 ,시크
인간이 너무 강함 ,데프프픗
뇌전왕 ,신정성
백천랑,송세종
당신에게 특별한,몬백
몬스터 소환사 ,염탁근
옆방의 팀장님 ,이바하
마인 어게인 ,임은주
금강권왕 강태현 ,클리너63
삼국지 마행처우역거,aSKnE
허세작렬 배우님,이내리
봄비 ,령후
가문의 주인 ,정은호
천재 파티셰가 되었다,어썸.
4월의 눈 ,안정원
열두 달의 연가 ,김이령
에이징(Aging) : 에라이 이 나이에 징집이라니,고유미
상흔의 꽃,유우빛
다섯 남자와 UFO  ,윤광희
탑 클라이머 ,화야란
아주 작은 방울,릴리슈슈
회색 레몬 ,서동우
화산검신 ,김태현
차원무장 최강헌터,골든아공간
신데렐라의 본심 ,라별아
찬란한 배신,인덱스
그대는 어느 날 첫눈처럼 ,해화
불순한 이웃 ,4월봄날
남편을 내 편으로 만드는 방법 ,냥이와향신료
내안의 불꽃 ,레니 로젤
나에게 반한 남자,단꽃비
사로잡힌 시선 ,줄리아 제임스
밤에 피는 꽃 ,김한나(석류알갱)
리무진을 부르는 여자 ,비키 루이스 톰슨
쌍둥이 자매 엘프,전유진
완벽한 남비서의 은밀한 수행 ,아이리스
사랑이냐 돈이냐 ,줄리아 제임스
주인공들의 아이로 태어났다,현아진
톱스타의 비밀,윤서인
마왕 데이몬 ,김정률
조지의 진실 ,페기 니콜슨
아우라 보는 작곡천재 ,산일
페티쉬 ,구해원
남궁전생 ,재유
회귀한 마법사 ,장담
눈 떠보니 흥행의 신,한채민
악기 만드는 음악천재 ,나전(螺鈿)
그대의 손길 ,레베카 윈터스
십대고수,자견(自遣)​
신인 감독과 청춘 스타의 말 못할 사정 ,세스(이우진)
유어마인 (You are mine),윤슬(깜장뮈)
소문난 선물 ,알렉스
전복 캐는 수영천재,어디서본듯
거짓말의 거짓말 ,이시진
유니크의 법칙 ,소유현
폭군의 심장을 쥐었다 ,유세유
리셋 ,건두부
옆집에 남편이 산다 ,레몬개구리
달콤한 지배자 ,채영란
그 상속녀의 결혼법칙,김사야
히스톨져(Histoldier) - 역사를 바꾸는 자들,수용
그림의 떡 ,민유희
사보타지 ,유하나
젠틀 자이언트 ,칠오삼
아임 인 러브 ,이효진
옆집 아이돌 ,취몽객
손만 대도 맛있어! ,윤재
기적을 노래하다,네모리노
유혹의 품격 ,빅노아
노블레스 오블리제 ,도경
당신이 나를 함부로 버린다면 ,달디단홍시
이혼 후 돈벼락!,우욱
간도진위대 ,루이스
이혼의 시작은 재혼부터 ,한겨울의달리아
취미가 결혼이라 ,봄나
흑기사의 맹세 ,문수정
야차 ,정혜
아찔한 동거,문나린
황자님의 유모 ,정나래
지독하게 사로잡히다,은버들
이 모든 건 당신을 위하여,허윤
지옥군단장 헬조선 입대기 ,라디파티
킹 오브 프리즘 PRIDE the HERO ,아자키 미치루
이계남녀 ,괴월영
레스트 아레아,정연주
초월급 소드마스터의 환생 ,웹중
또 다시 사랑 ,문이경
더는 싫었다,모카판나
"무수리 아줌마, 왕비 사모님 되다!",비낭자
던전 포식자,녹슨유리
스토리텔러 ,하나호
사련 ,세우(細雨)
영웅 따위 너나 해라,침략자
환생하여 수나라 정벌하자!,김태왕
재벌애인 사용설명서 ,이근
FINAL 에볼루션 ,최영진
어느 황홀한 밤 ,조 리
남주가 시한부 영애를 치료하는 방법,새실
"너는 내, 별",아란멸
킬 더 히어로,이묘영
장미의 유혹 ,샌드라 마턴
로또 2등이라 말하고 다니련다,야근의신
이계응징자,성정훈
집착광공을 피해 아이를 낳는 방법 ,엔나드
"울어 봐, 빌어도 좋고 ",이세계사장
이계 검왕 생존기,공중누각
"제발, 다가오지 마세요",은재이
YOU & I ,써니이
요즘 것들의 연애 ,운다만
천하제일인 제작기 ,왕밤빵9
솔로는 물에 빠져도 구해줄 사람이 없다 ,서준혜
또 하나의 진실 ,앨리슨 프레이저
망상속의 주인공 ,김루이
북촌 꽃선비의 연인들,김제이
영원한 상처 ,캐롤 모티머
이계제왕 세이론 ,무람
널 사랑한다면 ,이나을
환생화(還生話) 2부 - 얼음왕자의 사랑 ,청화(聽樺)
신 민며느리,민예원
내가 당신의 꿈이 되어 줄게요,영시미
위험한 유산,뭐냐냠
검에 비친 달을 보다,유진성
걸프전쟁 ,이수광
사랑인가요? ,사라 크레이븐
행성역사위원회 ,나비의꿈
남편이 백작인데 공무원이 되었습니다,화가많은
브라보 마이 라이프 ,어진바람
마신백문,거해
그 남자의 취향 ,소소담
나의 윤아,양하나
시한부 공작님이 밤마다 집착해 ,운소서&하윤미
올라운드 플레이어 ,강형욱
