title,introduction,link,rating,story,illust,origin,day,genre,image,is_done_flag,tags,age
내 남편과 결혼해줘,"하나뿐인 절친과 바람이 난 남편. 
그것도 모자라 시한부인 나를 죽여버렸다. 
그렇게 기구하게 죽어버린 ‘지원’, 기적같이 10년 전으로 돌아왔다…?! 
지원은 미래를 바꾸기 위해, 자신의 시궁창 같던 운명을 절친 ‘수민’ 에게 넘기기로 다짐한다.
그러니까, 나 대신 내 남편과 결혼해줘.​",https://comic.naver.com/webtoon/list?titleId=783769,9.95,LICO,성소작,,,로맨스,https://image-comic.pstatic.net/webtoon/783769/thumbnail/thumbnail_IMAG21_fc14e4e2-e62f-4d77-8f46-9fb05cffa77a.jpeg,TRUE,#로맨스#재벌#다정남#후회물#고자극로맨스#회귀#선결혼후연애#사내연애#소설원작#완결무료#완결로맨스,15세 이용가
어쩌다보니 천생연분,"집에 얹혀산 지 몇 년 차더라..? 
올해 32살을 맞이한 한지아(일하지 않는 프리랜서/무직)는 주변의 결혼하라는 눈칫밥에 오늘도 고통받는데.. 
때마침 명절을 맞이하여 고향에 내려온 소꿉친구 민철 또한 같은 고민이 있었으니.
그러면 쉬운 해결 방법이 있잖아?!? 그렇게 홧김에 결혼한 두 사람.
그런데 막상 결혼해 보니... 어라?? 생각보다 너무 잘 맞는다?!",https://comic.naver.com/webtoon/list?titleId=790245,9.97,꿀타래,담초,,금,로맨스,https://image-comic.pstatic.net/webtoon/790245/thumbnail/thumbnail_IMAG21_3545003845982959922.jpg,FALSE,#로맨스#로맨스코미디#2021 지상최대공모전#선결혼후연애,15세 이용가
여신강림,"네웹 대표 글로벌 인기작! 주경, 수호, 서준. 세 청춘의 두근두근 눈호강 로맨스~♡
메이크업으로 여신이 된 주경이는 꿈과 사랑을 이룰 수 있을까?",https://comic.naver.com/webtoon/list?titleId=703846,9.36,야옹이,야옹이,,화,로맨스,https://image-comic.pstatic.net/webtoon/703846/thumbnail/thumbnail_IMAG21_3617626786448291892.jpg,FALSE,#로맨스#드라마&영화 원작웹툰#인플루언서#삼각관계,12세 이용가
"언니, 이번 생엔 내가 왕비야","약혼자, 언니, 부모. 모든 것으로부터 버려진 그 날, 아리아드네는 14년 전으로 회귀한다.
“젠장! 나는 지금 너에게 구애하는 거라고!”
태도가 완전히 달라진 전생의 약혼자부터,
“울지 마, 아리아드네. 너는 네가 얼마나 예쁜지 모르지?”
그녀에게 첫눈에 반한 다정한 왕자님까지.
이번에야말로 모두에게 복수하고, 왕비가 되리라.",https://comic.naver.com/webtoon/list?titleId=798917,9.97,Omin,테미스,레팔진프,금,로맨스,https://image-comic.pstatic.net/webtoon/798917/thumbnail/thumbnail_IMAG21_ca84bfa2-c1c8-4621-9b4b-26dc745606f5.jpg,FALSE,#로맨스#레드아이스 스튜디오#사이다#회귀#복수극#로판#소설원작,15세 이용가
하루만 네가 되고 싶어,"완벽한 인생이었다, 그 애가 나타나기 전까지는'
반전에 반전을 거듭하는 치밀한 궁중 서스펜스
네이버웹툰 최강자전 19년 대표작.",https://comic.naver.com/webtoon/list?titleId=738487,9.97,삼,삼,,화,로맨스,https://image-comic.pstatic.net/webtoon/738487/thumbnail/thumbnail_IMAG21_66eac5ec-876b-469e-ab05-81261fddde8d.jpg,FALSE,#로맨스#최강자전#2019 최강자전#직진남#이세계#역하렘#삼각관계#로판#두뇌싸움#구원서사#걸크러시,15세 이용가
황후를 훔친 이는 누구인가,"흩날리는 매서운 눈발.
그 속에 덩그러니 남겨진 로젤린은 기꺼이 죽음을 받아들이기로 했다.



살아 있을 이유가 없었다.
가족도, 친구도, 욕망도 남아 있지 않았으니….

고통스러운 추위 속에서 이렇게 얼어 죽는 것도 나쁘지 않겠구나 싶던 그 때,
적국의 대장군, 타몬 크라시스가 버려진 그녀를 훔쳐 달아났다.",https://comic.naver.com/webtoon/list?titleId=805737,9.91,핀쿠,뮬리,Lee jihye,수,로맨스,https://image-comic.pstatic.net/webtoon/805737/thumbnail/thumbnail_IMAG21_c72b400d-fc29-4928-828f-56b3629ce352.jpg,FALSE,#로맨스#로판#소설원작,15세 이용가
시월드가 내게 집착한다,"사랑했던 가족들이 나를 죽였다.
과거로 돌아온 나는 내 목숨과 유산을 지키기로 결심하고 라피레온 대공을 찾아갔다.
그런데 이 대공가, 심상치 않다.

무사히 복수를 마치고, 이혼할 수 있을까?",https://comic.naver.com/webtoon/list?titleId=785251,9.99,승우,한윤설,,일,로맨스,https://image-comic.pstatic.net/webtoon/785251/thumbnail/thumbnail_IMAG21_3919877924477546549.jpg,FALSE,#로맨스#집착물#계약연애#회귀#선결혼후연애#구원서사#소설원작,15세 이용가
마른 가지에 바람처럼,"남편을 잃고, 아이를 빼앗기고, 이제 생매장을 눈 앞에 둔 과부 리에타. 
그 곳에 ‘미친 폐황자’로 불리는 저주받은 땅, 악시아스 성의 대공. 킬리언이 나타났다.
그녀를 데려가겠다고 말하는 킬리언이 인사를 건넨다. “안녕, 요부”",https://comic.naver.com/webtoon/list?titleId=748535,9.98,화음,달새울,,수,로맨스,https://image-comic.pstatic.net/webtoon/748535/thumbnail/thumbnail_IMAG21_fbaf72e0-c829-44ad-b56c-5c60a9fd5705.jpg,FALSE,#로맨스#이세계#구원서사#소설원작,12세 이용가
내가 죽기로 결심한 것은,"태권도 국가대표 선발전을 앞두고 부상을 입은 고3 지오는 뒤늦은 사춘기를 맛보는 중이다.  
온갖 찌질한 생각이 드는 와중에 만나게 된 차결은 살랑살랑 웃어대며 지오를 완전히 홀려 버리는데, 맘 놓고 홀리기엔 차결의 주변 사람들이 어쩐지 위험하다.  
머리로는 경계해야 하는 걸 알지만, 결을 향한 관심은 멈출 수가 없다. 얘… 좋아해도 되는 걸까?",https://comic.naver.com/webtoon/list?titleId=783523,9.97,YUJU,YUJU,,수,로맨스,https://image-comic.pstatic.net/webtoon/783523/thumbnail/thumbnail_IMAG21_cc413d42-89ab-4c7d-a28c-0f698acb169b.jpg,FALSE,#로맨스#폭스남#집착물#청춘로맨스#재회,15세 이용가
버려진 나의 최애를 위하여,"""내 최애를 살려내!""
N회차 정주행할 만큼 애정하던 로판 소설에 빙의한 헤스티아,
엑스트라 of 엑스트라에 빙의한 덕에 주인공들을 직관하고 드디어 맞이한 작품의 엔딩!
엔딩 후 현실로 돌아가게 될 거란 예상은 산산조각이 나고,
소설의 엔딩 후 비하인드가 가장 애정하는 캐릭터였던 서브남 카엘루스의 죽음이라는 충격에서 벗어나기도 전에
소설의 엔딩 직후로 회귀하는데…!
그렇다면 이번엔, 내 최애를 지켜내겠어!",https://comic.naver.com/webtoon/list?titleId=794155,9.97,류호,기묭,김선유,목,로맨스,https://image-comic.pstatic.net/webtoon/794155/thumbnail/thumbnail_IMAG21_ff82104f-a8ce-4bf7-9126-a0caf2e1bb1d.jpeg,FALSE,#로맨스#소설원작,전체연령가
